pap_cw,pap_aw
abandono,abandono
abarká,abarca
abarkando,x
abatí,x
abatuar,x
abatuarnan,x
abeha,abeha
abehanan,abehanan
abemaria,x
abemarianan,x
aber,haber
abertura,x
aberturanan,x
abesedario,x
abesedarionan,x
abestrus,avestruz
abestrusnan,avestruznan
abiertamente,abiertamente
ábil,habil
abilidat,habilidad
abilidatnan,habilidadnan
abilitá,rehabilita
ábilmente,habilmente
abismo,abismo
abismonan,abismonan
abitá,habita
abitando,habitando
abitante,habitante
abitantenan,habitantenan
abla,habla
ablante,hablante
ablantenan,hablantenan
ablativo,x
ablativonan,x
ablif,ablif
abo,abo
abogado,abogado
abogadonan,abogadonan
abogasia,abogacia
abolí,aboli
aboliendo,aboliendo
abolishon,abolicion
abominabel,abominabel
aboná,abona
abonado,abonado
abonadonan,abonadonan
abono,abono
abortá,aborta
abortando,abortando
aborto,aborto
abortonan,abortonan
abou,abou
abraiko,x
abrakadabra,abracadabra
abraso,abraso
abrasonan,abrasonan
abrenunsia,abrenuncia
abreviá,abrevia
abreviando,abreviando
abreviashon,abreviacion
abreviashon,abreviacion
abreviashonnan,abreviacion
abreviatura,x
abreviaturanan,x
abrumador,x
abrupto,abrupto
abundá,abunda
abundansia,abundancia
abundante,abundante
abusá,abusa
abusamentu,x
abusador,x
abusadó,abusado
abusando,abusando
abuso,abuso
abusu,x
achin,x
ada,x
adanan,x
adaptabel,adaptabel
adaptabilidat,adaptabilidad
adaptá,adapta
adaptando,adaptando
adaptashon,adaptacion
adaptashon,x
adaptashonnan,adaptacionnan
adekuá,adecua
adekuadamente,adecuadamente
adekuado,adecuado
adelantá,adelanta
adelantando,adelantando
adelante,adelante
adelanto,adelanto
adelantonan,adelantonan
adelisia,x
adelisianan,x
ademas,ademas
aden,aden
ader,ader
adernan,adernan
adikshon,adicion
adikto,adicto
adiktonan,adictonan
adishonal,adicional
adishonalmente,adicionalmente
adjust,adjust
adolesensia,adolescencia
adolesente,adolescente
adolesentenan,adolescentenan
adopshon,adopcion
adopshonnan,adopcionnan
adoptá,adopta
adoptando,adoptando
adoptante,adoptante
adoptantenan,adoptantenan
adoptivo,adoptivo
adorabel,adorabel
adoradó,adorado
adoradónan,adoradonan
adorá,adora
adoradó,adorado
adorashon,adoracion
adorno,adorno
adornonan,adornonan
adrei,x
adreinan,x
adrès,adres
adrèsnan,adresnan
adulterio,adulterio
adúltero,adultero
adultes,adultez
adulto,adulto
adultonan,adultonan
aéreo,aereo
aerodinámika,aerodinamica
aeroklup,x
aeroklupnan,x
aerolínea,aerolinea
aerolíneanan,aerolineanan
aeronouta,aeronauta
aeronoutanan,aeronautanan
