pap_cw,pap_aw
antisipá,anticipa
antisipando,anticipando
antisipashon,anticipacion
antisosial,antisocial
antisosialnan,antisocialnan
antítesis,antitesis
antítesisnan,antitesisnan
anto,anto
antó,x
antohá,antoha
antohando,antohando
antoho,antoho
antohonan,antohonan
antologia,antologia
antologianan,antologianan
antológiko,x
antonimia,antonimia
antónimo,antonimo
antónimonan,antonimonan
antonomasia,x
antorcha,x
antorchanan,x
antraks,x
antropologia,antropologia
antropológiko,antropologico
antropólogo,antropólogo
antropólogonan,antropólogonan
antroponimia,antroponimia
anual,anual
anualmente,anualmente
anuanu,x
anuanunan,x
anulá,anula
anulando,anulando
anulashon,anulacion
anulashon,anulacion
anulashonnan,anulacionnan
anunsiá,anuncia
anunsiando,anunciando
Anunsiashon,Anunciacion
anunsio,anuncio
anunsionan,anuncionan
anzue,hanzue
anzuenan,hanzuenan
aorta,x
aortanan,x
a,x
anan,x
aparato,aparato
aparatonan,aparatonan
aparensia,aparencia
aparensianan,aparencianan
aparentá,aparenta
aparentando,aparentando
aparente,x
aparentemente,aparentemente
aparesé,aparece
apariensia,apariencia
apariensianan,apariencianan
aparishon,aparicion
aparishonnan,aparicionnan
apart,apart
apartamento,apartamento
apartamentonan,apartamentonan
apartamentu,x
apartamentunan,x
apartá,aparta
apartamentu,x
apartando,apartando
aparte,aparte
apartenan,apartenan
apartheid,apartheid
apashoná,apasiona
apasiguá,apacigua
apasiguamentu,apaciguamento
apasiguando,apaciguando
apatia,apatia
apátiko,apatico
apdiká,abdica
apdikashon,abdicacion
apdómen,abdomen
apdómennan,abdomennan
apdominal,abdominal
apèl,appel
apelá,apela
apelando,apelando
apelashon,apelacion
apelante,x
apelantenan,x
apelashon,apelacion
apelashonnan,apelacionnan
apelativo,apelativo
apeldam,apeldam
apeldamnan,apeldamnan
ápelmus,x
apel,appel
apelnan,appelnan
apelsina,apelsina
apelsinanan,apelsinanan
apénas,apenas
apèndiks,x
apèndisítis,appendicitis
aperitivo,aperitivo
aperitivonan,aperitivonan
apertura,apertura
aperturanan,aperturanan
apetit,apetit
aplasá,aplasa
aplasando,aplasando
aplastá,aplasta
aplastante,aplastante
aplikabel,aplicabel
aplikabilidat,aplicabilidad
apliká,aplica
aplikando,aplicando
aplikashon,aplicacion
aplikashon,aplicacion
aplikashonnan,aplicacionnan
aploudí,aplaudi
aplouso,aplauso
aplousonan,aplausonan
apnegá,abnega
apnegashon,abnegacion
apnormal,abnormal
apnormalidat,abnormalidad
apnormalidatnan,abnormalidadnan
apoderá,apodera
apoderashon,apoderacion
apoderashon,apoderacion
apoderashonnan,apoderacionnan
apokopá,x
apókope,apocope
apókopenan,apocopenan
apolítiko,apolitico
apologia,apologia
apologianan,apologianan
aportá,aporta
aportando,aportando
aportashon,aportacion
aportashon,aportacion
aportashonnan,aportacionnan
aporte,x
aportenan,x
aposishon,aposicion
aposishonnan,aposicionnan
apòstel,apostel
apòstelnan,apostelnan
apostolado,apostolado
apostoladonan,apostoladonan
apostóliko,apostolico
apostròf,apostrof
apostròfnan,apostrofnan
apoyá,apoya
apoyando,apoyando
apoyo,apoyo
aprel,x
apremiante,x
aprendis,aprendis
aprendisnan,aprendisnan
apresiabel,apreciabel
apresiá,aprecia
apresiando,apreciando
apresio,aprecio
aprikòt,x
aprikòtnan,x
aprobá,aproba
aprobando,aprobando
aprobashon,aprobacion
aprobashon,aprobacion
aprobashonnan,aprobacionnan
aproksimadamente,aproximadamente
aproksimá,aproxima
aproksimashon,aproximacion
aproksimashon,aproximacion
aproksimashonnan,aproximacionnan
apropiá,apropia
apropiashon,apropiacion
apropiashon,apropiacion
apropiashonnan,apropiacionnan
apsentismo,absentismo
apsès,x
apsèsnan,x
apsolbé,absolve
apsolushon,absolucion
apsolushonnan,absolucionnan
apsolutamente,absolutamente
apsoluto,absoluto
apsolvé,absolve
apsolviendo,absolviendo
apsorbé,x
apstené,abstene
apsteniendo,absteniendo
apstenshon,abstencion
apstinensia,abstinencia
apstinente,abstinente
apstraé,abstrae
apstrakshon,abstraccion
apstrakshonnan,abstraccionnan
apstrakto,abstracto
apsurdes,absurdez
apsurdesnan,absurdeznan
apsurdidat,absurdidad
apsurdo,absurdo
aptitut,actitud
aptitutnan,actitudnan
apto,x
apuntá,apunta
apuntamentu,apuntamento
apuntando,apuntando
apunte,x
apuntenan,x
apuro,apuro
apuronan,apuronan
apuru,x
apurunan,x
aquarium,aquarium
aquariumnan,aquariumnan
árabe,Arabe
árabenan,Arabenan
Arabia,Arabia
arabir,x
arabirnan,x
araña,haraña
arañanan,harañanan
ara,ara
aranan,aranan
arawak,Arawak
arawaknan,Arawaknan
arbitrahe,x
arbitrariamente,arbitrariamente
arbitrariedat,arbitrariedad
arbitrariedatnan,arbitrariedadnan
arbitrario,arbitrario
árbitro,arbitro
árbitronan,arbitronan
archipiélago,archipielago
archipiélagonan,archipielagonan
archivá,x
archivamentu,x
archivando,x
archivo,x
archivonan,x
ardapel,aardappel
ardapelnan,aardappelnan
ardu,x
ardunan,x
área,area
áreanan,areanan
areglá,aregla
areglando,areglando
areglista,areglista
areglistanan,areglistanan
areglo,areglo
areglonan,areglonan
arena,arena
arenanan,arenanan
arepa,arepa
arepanan,arepanan
arepentí,arepenti
arepentimentu,arepentimento
arepita,arepita
arepitanan,arepitanan
arestá,aresta
arestando,arestando
aresto,aresto
arestonan,arestonan
Argelia,Algeria
argelino,x
argelinonan,x
Argentina,Argentina
argentino,Argentino
argentinonan,Argentinonan
argumentá,argumenta
argumentando,argumentando
argumentashon,argumentacion
argumentashon,argumentacion
argumentashonnan,argumentacionnan
argumento,argumento
argumentonan,argumentonan
aria,aria
arianan,arianan
ariba,ariba
aribabou,aribabou
ariña,hariña
ariñanan,hariñanan
aristokrasia,aristocracia
aristokrátiko,aristocratico
aristokrátikonan,aristocraticonan
aristokrat,aristocratico
aristokratnan,aristocraticonan
aritmétika,aritmetica
aritmétiko,aritmetico
aritmétikonan,aritmeticonan
arkadia,x
arkadianan,x
arkaiko,x
arkaisá,x
arkaisante,x
arkaismo,arcaismo
arkaismonan,arcaismonan
arkangel,arcangel
arkangelnan,arcangelnan
arka,arca
arkanan,arcanan
arkeologia,arkeologia
arkeológiko,arkeologico
arkeólogo,arkeologo
arkeólogonan,arkeologonan
arkidiósesis,arkidiocesis
arkidiósesisnan,arkidiocesisnan
arkitektóniko,arkitectonico
arkitekto,arkitecto
arkitektonan,arkitectonan
arkitektura,arkitectura
arko,x
arkonan,x
armamentista,x
armá,arma
armando,armando
arma,x
armamentu,armamento
armanan,armanan
armbant,armband
armbantnan,armbandnan
Armenia,x
armenio,x
armenionan,x
armistisio,armisticio
armonia,harmonia
armonioso,harmonioso
armonisá,harmonisa
arogansia,arogancia
arogante,arogante
arohá,x
arohando,x
aroma,aroma
aromanan,aromanan
aromátiko,aromatico
arorut,x
arorutnan,x
aros,aros
arowak,x
arowaknan,x
ar,x
arnan,x
arpa,harpa
arpanan,harpanan
arpegio,arpeggio
arpegionan,arpeggionan
arpista,harpista
arpistanan,harpistanan
arpun,harpun
arpunnan,harpunnan
arséniko,arsenico
arsobispado,arsobispado
arsobispadonan,arsobispadonan
arsobispal,arsobispal
arsobispu,x
arsobispunan,x
arspèlt,x
arspèltnan,x
artefakto,artefacto
artefaktonan,artefactonan
arte,arte
artenan,artenan
arteria,arteria
arterianan,arterianan
arteriosklerósis,arteriosclerosis
artesanal,artesanal
artesania,artesania
artesano,artesano
artesanonan,artesanonan
artieria,arteria
artiero,x
artifisial,artificial
artifisialidat,artificialidad
artifisialmente,artificialmente
ártiko,x
artikulá,articula
artikulashon,articulacion
artíkulo,articulo
artíkulonan,articulonan
artista,artista
artistanan,artistanan
artístikamente,artisticamente
artístiko,artistico
artrítis,artritis
artrósis,artrosis
Aruba,Aruba
arubanismo,arubianismo
arubanismonan,arubianismonan
arubano,Arubano
arubanonan,Arubanonan
arubiano,Arubiano
arubianonan,Arubianonan
asa,x
asá,x
asaltá,asalta
asaltante,asaltante
asaltantenan,asaltantenan
asalto,asalto
asaltonan,asaltonan
asamblea,asamblea
asambleanan,asambleanan
asana,x
asbak,asbak
asbaknan,asbaknan
asbèst,x
asèchi,hasechi
asèchinan,hasechinan
asegurado,asegurado
aseguradonan,aseguradonan
asegurador,x
aseguradornan,x
aseguro,x
aseguronan,x
aseituna,aceituna
aseitunanan,aseitunanan
aseksual,asexual
aselerá,acelera
aselerando,acelerando
aselerashon,aceleracion
asendé,ascende
asendensia,x
asendente,x
asendentenan,x
asendiendo,x
asendiente,x
asendientenan,x
asenshon,x
asentí,asenti
asentimentu,asentimento
asento,accento
asentonan,accentonan
asentuá,accentua
asentuashon,accentuacion
aseptabel,aceptabel
aseptá,acepta
aseptando,aceptando
aseptashon,aceptacion
asera,acera
aseranan,aceranan
aserka,acerca
aserkamentu,acercamento
aserká,x
aserkando,x
asertá,x 
asesiná,asesina
asesinato,asesinato
asesinatonan,asesinatonan
asesino,asesino
asesinonan,asesinonan
asesorá,acesora
asesoramentu,acesoramento
asesorando,acesorando
asesoria,x
asesorio,acesorio
asesorionan,acesorionan
asesor,x
asesornan,x
asfalt,asfalt
asfaltá,asfalta
asfaltando,asfaltando
asfiksia,x
asfiksiá,x
Asia,Asia
asiátiko,Asiatico
asiátikonan,Asiaticonan
