pap_cw,pap_aw
banderanan,banderanan
banderin,banderin
banderinnan,banderinnan
banderita,banderita
banderitanan,banderitanan
bandidu,bandido
bandidunan,bandidonan
bandolin,x
bandolinnan,x
bandoná,bandona
bandonamentu,bandonamento
bandonando,bandonando
bandó,x
bandónan,x
bangaña,bangaña
bangañanan,bangañanan
banidat,vanidad
banidatnan,vanidadnan
banidoso,vanidoso
banka,x
bankario,bancario
bankero,bankero
bankeronan,bankeronan
banki,banki
bankinan,bankinan
bankomátiko,bancomatico
bankomátikonan,bancomaticonan
banko,banco
bankonan,banconan
bankrut,bankroet
bankskruf,x
bankskrufnan,x
bankwèrker,x
bankwèrkernan,x
baño,baño
bañonan,bañonan
bant,x
bantnan,x
bap,x
bapor,bapor
bapornan,bapornan
baptista,x
baptistanan,x
baraha,baraha
barahanan,barahanan
baraka,x
barakanan,x
barakoa,x
barakoanan,x
barak,barak
baraknan,baraknan
barakuda,baracuda
barakudanan,barancanan
baranka,baranca
barankanan,barancanan
bara,bara
baranan,baranan
bará,bara
baránan,baranan
barata,barata
baratio,baratio
barationan,barationan
barbá,barba
barbachi,barbachi
barbachinan,barbachinan
Barbados,Barbados
barbakoa,barbacoa
barbakoanan,barbacoanan
barba,barba
barbanan,barbanan
barbaridat,barbaridad
barbaridatnan,barbaridadnan
barbarie,x
barbarismo,barbarismo
barbarismonan,barbarismonan
bárbaro,barbaro
bárbaronan,barbaronan
barbekiú,x
barbekiúnan,x
barbèl,x
barbèlnan,x
barberia,barberia
barberianan,barberianan
barbero,barbero
barberonan,barberonan
barbí,x
barbínan,x
barbon,barbon
barbonnan,barbonnan
barbulètè,barbulet
barbulètènan,barbuletnan
barera,barera
bareranan,bareranan
barete,barete
baretenan,baretenan
barèt,x
barètnan,x
bariante,variante
bariantenan,variantenan
bariashon,variacion
bariashonnan,variacionnan
baridó,barido
baridónan,baridonan
bariedat,variedad
bariedatnan,variedadnan
bariendo,bariendo
barigonchi,barigonchi
barigonchinan,barigonchinan
barikada,baricada
barikadanan,baricadanan
barikadiá,baricadia
barika,barica
barikanan,baricanan
bari,bari
barimentu,barimento
bario,bario
barionan,barionan
bários,varios
barí,bari
barínan,barinan
báritòn,bariton
báritònnan,baritonnan
barka,barca
barkiper,x
barkipernan,x
barku,barco
barkunan,barconan
barnis,x
barnisá,x
barnisamentu,x
baròk,x
baroko,x
barometer,barometer
barometernan,barometernan
baronesa,baronesa
baronesanan,baronesanan
baronil,varonil
baron,baron
baronnan,baronnan
bar,bar
barnan,barnan
bartènder,bartender
bartèndernan,bartendernan
basa,basa
basá,x
basando,basando
base,base
basenan,basenan
basha,basha
bashamentu,bashamento
bashá,basha
bashando,bashando
bashí,bashi
básikamente,basicamente
básiko,basico
basilá,basila
basilamentu,basilamento
basilando,basilando
basilashon,x
basilante,x
basílika,basilica
basílikanan,basilicanan
basilon,basilon
basilonnan,basilonnan
basista,basista
basistanan,basistanan
basketbòl,basketball
basket,basket
basketnan,basketnan
baso,x
basonan,x
basora,basora
basoranan,basoranan
bas,bas
basnan,basnan
basta,basta
bastante,bastante
bastardo,x
bastardonan,x
bastèl,x
bastèlnan,x
baster,baster
bastion,x
bastionnan,x
baston,baston
bastonnan,bastonnan
bata,bata
batanan,batanan
batata,batata
batatanan,batatanan
batayá,bataya
batayando,batayando
bataya,bataya
batayanan,batayanan
batayon,batayon
batayonnan,batayonnan
bateadó,x
bateadónan,x
bate,bate
batenan,batenan
bateria,bateria
baterianan,baterianan
batí,bati
batiandi,x
batiandinan,x
batido,batido
batidonan,batidonan
batidó,batido
batidónan,batidonan
batiendo,batiendo
bati,bati
batimentu,batimento
batisá,batisa
batisamentu,batisamento
batisando,batisando
batpak,badpak
batpaknan,badpaknan
batrei,x
batreinan,x
batuta,batuta
batutanan,batutanan
baul,x
baulnan,x
bayena,bayena
bayenanan,bayenanan
bayendo,bayendo
bayonèt,bayonet
bayonètnan,bayonetnan
bazar,x
bazarnan,x
bazjan,bazjan
beaku,x
beakunan,x
beatifiká,beatifica
beatifikashon,beatificacion
bebé,bebe
bebedó,bebedo
bebedónan,bebedonan
bebe,bebe
bebementu,bebemento
bebí,bebi
bebibel,bebibel
bebidòl,x
bebidòlnan,x
bebiendo,bebiendo
bebi,bebi
bebinan,bebinan
bèchi,x
bèchinan,x
bedank,bedank
bedar,bedaar
bedaru,x
bedei,bedey
bedji,x
bedjinan,x
beheit,beheit
behes,behes
beibel,x
beibelnan,x
beinam,x
beinamnan,x
beis,beis
beisbòl,x
beitel,beitel
beitelnan,x
beitnan,x
bekado,becado
bekadonan,becadonan
beka,beca
bekanan,becanan
beker,beker
bekernan,bekernan
bekest,x
bekestnan,x
bek,bek
bekmentu,bekmento
bèk,x
bèknan,x
beku,x
bekunan,x
belá,x
bela,bela
belanan,belanan
belasting,belasting
belastingnan,belastingnan
belèg,beleg
belga,Belga
belganan,Belganan
Bèlgika,Belgica
beligerante,x
béliko,x
belo,velo
belonan,velonan
belorio,x
belorionan,x
bèl,x
bèlnan,x
bembe,bembe
bembenan,bembenan
bemòl,x
bemòlnan,x
bena,bena
benanan,benanan
bencha,bencha
benchamentu,benchamento
benchá,bencha
benchando,benchando
bendá,x
benda,x
bendanan,x
bendedó,bendedo
bendedónan,bendedonan
bende,bende
bendementu,bendemento
bènder,x
bèndernan,x
bendí,x
bendibel,bendibel
bendiendo,bendiendo
bendita,bendita
benditu,x
benefaktor,x
benefaktornan,x
benéfiko,x
benefisensia,x
benefisiá,x
benefisiario,beneficiario
benefisiarionan,beneficiarionan
benefisio,beneficio
benefisionan,beneficionan
benefisioso,beneficioso
benekebùiten,x
benekebùitennan,x
beneplásito,x
benesolano,Venezolano
benesolanonan,Venezolanonan
bénesol,x
bénesolnan,x
bénewater,x
bénewaternan,x
benga,venga
bengadó,vengado
bengadónan,vengadonan
bengansa,vengansa
bengá,venga
bengadó,vengado
bengativo,vengativo
benidero,venidero
benignidat,x
benigno,benigno
benout,x
bèns,bens
bènsnan,bensnan
bènsu,x
bènsunan,x
bentaha,bentaha
bentahanan,bentahanan
bentahoso,bentahoso
bentá,benta
bentando,bentando
bentana,bentana
bentananan,bentananan
benta,benta
bentamentu,bentamento
bentanan,bentanan
bènt,x
bèntnan,x
be,x
benan,benan
bepal,x
beraf,x
beran,x
beranda,veranda
berandanan,verandanan
berans,berans
berdaderamente,berdaderamente
berdadero,berdadero
bèrdat,berdad
bèrdatnan,berdadnan
bèrdè,berde
bèrdura,berdura
bèrduranan,berduranan
berea,berea
bereanan,bereanan
berehein,berehein
bereheinnan,bereheinnan
bergonsá,x
bergonsoso,bergonsoso
bèrgwensa,berguensa
beri,x
berinan,x
berit,x
Berlin,x
Bermuda,x
bèròf,x
beròm,x
beròmnan,x
ber,x
bernan,x
berpùt,beerput
berpùtnan,beerputnan
bèrsla,x
bèrslanan,x
bèrs,bers
bèrsnan,bersnan
bès,x
bèshimantó,x
bèshi,beshi
bèshinan,beshinan
besindario,vecindario
besindarionan,vecindarionan
besindat,vecindad
besindatnan,vecindadnan
beskein,x
bèskop,x
bèskopnan,x
beslag,x
beslagnan,x
bes,bes
besnan,besnan
bèst,best
bestèk,x
bestèknan,x
bestèl,x
bestial,bestial
bestialidat,bestialidad
bestialidatnan,bestialidadnan
bestialmente,bestialmente
bestia,bestia
bestianan,bestianan
Bestuurscollege,x
Bestuurscollegenan,x
bèt,bet
beter,x
beternan,x
Bètlehèm,x
betòn,beton
betrá,betra
beu,x
bewaker,x
bewakernan,x
beyesa,beyesa
beyesanan,beyesanan
beyo,x
biaha,biaha
biahamentu,biahamento
biahanan,biahanan
biahando,biahando
biahe,biahe
biahenan,biahenan
biahero,biahero
biaheronan,biaheronan
bia,via
bianan,vianan
biar,x
biba,biba
bibamentu,bibamento
bibá,biba
bibando,bibando
bibero,x
biberonan,x
bibida,bibida
bibidanan,bibidanan
bibidó,x
bibidónan,x
bibilioteka,biblioteca
bibiliotekanan,bibliotecanan
bibi,x
bibinan,x
bibitu,bibito
bíbliko,x
bibliobùs,bibliobus
bibliobùsnan,bibliobusnan
bibliografia,bibliografia
bibliografianan,bibliografianan
bibliográfiko,bibliografico
biblioteka,biblioteca
bibliotekanan,bibliotecanan
bibliotekaria,bibliotecaria
bibliotekarianan,bibliotecarianan
bibliotekario,bibliotecario
bibliotekarionan,bibliotecarionan
bibòp,x
bibòpnan,x
bibu,bibo
bichi,bichi
bichinan,bichinan
bich,x
bichnan,x
bida,bida
bidanan,bidanan
bidèm,x
bider,bider
bièchi,x
bièchinan,x
biehita,biehita
biehitanan,biehitanan
biehitu,biehito
biehitunan,biehitonan
bienal,x
bienaventurá,x
bienaventurado,x
bienaventuradonan,x
bienaventuransa,x
bienestar,bienestar
bienhechor,bienhechor
bienhechornan,bienhechornan
bien,bien
biennan,biennan
bientu,biento
bientunan,bientonan
bièrnèsantu,x
bieu,bieu
bieunan,bieunan
bifokal,x
bifstùk,x
bifstùknan,x
bigamia,bigamia
bígamo,x
bígamonan,x
biga,biga
biganan,biganan
bigonia,bigonia
bigonianan,bigonianan
bigoti,bigoti
bigotinan,bigotinan
bigui,x
biguinan,x
bikarbonato,bicarbonato
bikini,bikini
bikininan,bikininan
biki,biki
bikinan,bikinan
bilabial,bilabial
bilabialnan,bilabialnan
bilateral,bilateral
bilingwe,bilingual
bilingwismo,bilingualismo
bim,x
bimensual,bimensual
bimestral,x
bin,bin
biña,biña
binager,binager
binagernan,binagernan
biná,bina
binánan,binanan
bindishoná,bendiciona
bindishonamentu,bendicionamento
bindishonando,bendicionando
bindishon,bendicion
bindishonnan,bendicionnan
bingo,bingo
biniendo,biniendo
bini,bini
binimentu,binimento
binti,binti
bintidos,bintidos
bintikuater,binticuater
bintinuebe,bintinuebe
bintiocho,bintiocho
bintiseis,bintiseis
bintishete,bintishete
bintisinku,x
bintitres,bintitres
bintiun,bintiun
bintiunu,x
biobibliográfiko,bibliografico
biografia,biografia
biografianan,biografianan
biokímika,biokimica
biokímiko,biokimico
biokímikonan,biokimiconan
biologia,biologia
biológiko,biologico
biólogo,biologo
biólogonan,biologonan
bion,x
bionnan,x
biopsia,biopsia
biopsianan,biopsianan
biósfera,x
biotekniko,x
bioteknologia,x
bioterorismo,x
biper,x
bipernan,x
bip,bip
bipnan,bipnan
birada,birada
biradanan,biradanan
bira,bira
biramentu,biramento
birambí,birambi
birambínan,birambinan
birá,bira
birando,birando
biránan,biranan
bírgen,virgen
bírgennan,virgennan
biroshi,biroshi
