pap_cw,pap_aw
bòstel,x
botadó,votado
botadónan,votadonan
bota,vota
botamentu,votamento
botando,votando
botánika,botanica
botániko,botanico
botánikonan,botaniconan
botashon,votacion
botekin,botikin
botekinnan,botikinnan
bòter,boter
bòternan,boternan
boteyadó,boteyado
boteyadónan,boteyadonan
boteyá,boteya
boteyamentu,boteyamento
boteyadó,boteyado
boteyando,boteyando
botika,botica
botikanan,boticanan
botikario,boticario
botikarionan,boticarionan
botin,botin
botinnan,botinnan
botoná,botona
botonamentu,botonamento
botonando,botonando
boton,boton
botonnan,botonnan
boto,boto
botonan,botonan
botorei,x
botoreinan,x
bou,x
bouksit,x
boutismo,bautismo
boutiso,x 
bout,x
boutnan,x
boyo,boyo
boyonan,boyonan
b,x
bnan,x
brabu,brabo
bragadam,bragadam
braga,braga
braganan,braganan
bragas,x
brait,x
brak,brak
bral,x
bralnan,x
bram,x
bramnan,x
brankar,brancard
brankarnan,brancardnan
branspeit,x
branspeitnan,x
branspùit,x
branspùitnan,x
brantfes,x
brantfesnan,x
brant,brant
brantnan,brantnan
brantspeit,x
brantspeitnan,x
brantspùit,brandspuit
brantspùitnan,brandspuitnan
brantwer,brandweer
brantwernan,brandweernan
brasalèt,x
brasalètnan,x
brasá,brasa
brasando,brasando
brasa,brasa
brasamentu,brasamento
brasanan,brasanan
brasbènt,x
brasbèntnan,x
brasia,x
brasianan,x
Brasil,Brasil
brasileño,x
brasileñonan,x
brasilero,x
brasileronan,x
brazièr,x
brazièrnan,x
Brazil,x
brazilero,x
brazileronan,x
breit,x
breitnan,x
brek,x
brekmentu,x
breknan,x
brel,x
brelnan,x
brenòli,x
brenòlinan,x
bres,bres
bresmentu,bresmento
Bretaña,x
breu,x
breve,breve
brevemente,brevemente
brévis,x
bria,x
briante,briyante
briantenan,briyantenan
briantina,x
brich,brich
brichnan,brichnan
brièchi,x
brièchinan,x
brigada,brigada
brigadanan,brigadanan
brigadir,brigadier
brigadirnan,brigadiernan
brik,brik
briknan,briknan
brinda,brinda
brindamentu,bringamento
brindá,brinda
brindando,brindando
bríndis,brindis
bríndisnan,brindisnan
brindo,x
brindonan,x
bringadó,bringado
bringadónan,bringadonan
bringa,bringa
bringamentu,bringamento
bringamosa,bringamosa
bringamosanan,bringamosanan
bringá,bringa
bringadó,bringado
bringando,bringando
brinòli,x
brinòlinan,x
brio,x
brisa,brisa
brisanan,brisanan
britániko,Britanico
británikonan,Britaniconan
brivenbùs,brievenbus
brivenbùsnan,brievenbusnan
broadcast,broadcast
broche,broche
brochenan,brochenan
bròder,x
bròdernan,x
bromadó,bromado
bromadónan,bromadonan
broma,broma
bromamentu,bromamento
bròmer,brommer
bròmernan,brommernan
bròmfits,x
bròmfitsnan,x
brongosá,brongosa
bronkítis,bronkitis
bròns,brons
brò,x
brònan,x
bròs,bros
bròsh,x
bròshnan,x
brota,brota
brotamentu,bromamento
brotando,brotando
brote,x
brotenan,x
brou,x
broyo,x
broyonan,x
bru,x
bruadó,x
bruadónan,x
bruá,x
bruadó,x
bruando,x
bruashon,x
brua,bruha
bruamentu,bruhamento
bruder,X
brudernan,X
bruera,X
brueria,bruheria
brùg,brug
brùgnan,brugnan
bruhadó,x
bruhadónan,x
bruha,bruha
bruhamentu,bruhamento
bruheria,bruheria
brui,x
brùidehòm,x
brùidehòmnan,x
bruidsjongen,bruidsjongen
bruidsjongennan,bruidsjongennan
bruidsmeisje,bruidsmeisje
bruidsmeisjenan,bruidsmeisjenan
brùin,bruin
brùit,x
brùitnan,x
bruki,bruki
brukinan,brukinan
brutal,brutal
brutalidat,brutalidad
brutalidatnan,brutalidadnan
bruto,bruto
brutu,x
bu,x
bua,x
bùbelgùm,x
bùbelgùmnan,x
bubè,x
bubènan,x
bubi,bubi
bubinan,bubinan
bubu,x
bubunan,x
buchi,buchi
buchinan,buchinan
buda,x
budanan,x
budismo,budismo
budista,budista
budistanan,budistanan
budum,x
buelo,vuelo
buelonan,vuelonan
buèlta,buelta
buèltanan,bueltanan
buèltu,x
buèltunan,x
