pap_cw,pap_aw
denunsiante,denunciante
denunsiantenan,denunciantenan
denunsia,denuncia
denunsianan,denuncianan
deodorante,deodorant
deodorantenan,deodorantnan
departamento,departamento
departamentonan,departamentonan
depchi,depchi
depchinan,depchinan
dependé,depende
dependensia,dependencia
dependiendo,dependiendo
dependiente,dependiente
depèster,x
depilá,depila
depilando,depilando
depilashon,depilacion
deplorá,deplora
deplorabel,deplorabel
deportá,deporta
deportando,deportando
deportashon,deportacion
deportashon,deportacion
deportashonnan,deportacionnan
deporte,deporte
deportenan,deportenan
deportista,deportista
deportistanan,deportistanan
deportivismo,deportivismo
deportivo,deportivo
depositá,deposita
depositando,depositando
depositante,x
depositantenan,x
depositario,x
depositarionan,x
depósito,deposito
depósitonan,depositonan
depreshon,depresion
depreshonnan,depresionnan
depresiá,deprecia
depresiashon,depreciacion
depresivo,depresivo
deprimí,deprimi
dera,dera
deramentu,deramento
derame,derame
derá,dera
derando,derando
derechi,x
derechinan,x
derechista,derechista
derechistanan,derechistanan
derechitu,x
derecho,derecho
derechonan,derechonan
deregulá,deregula
deregulador,x
deregulashon,deregulacion
dèrièr,x
dèrièrnan,x
derivabel,derivabel
derivado,x
derivadonan,x
derivá,deriva
derivando,derivando
derivashon,derivacion
derivashon,derivacion
derivashonnan,derivacionnan
dermatologia,dermatologia
dermatológiko,dermatologico
dermatólogo,dermatologo
dermatólogonan,dermatologonan
derotá,derota
derotando,derotando
derota,derota
derotanan,derotanan
dès,x
desabilidat,x
desabilidatnan,x
desabilitá,x
desafiá,desafia
desafiante,x
desafio,desafio
desafionan,desafionan
desafortuná,desafortuna
desafortunadamente,desafortunadamente
desagradabel,desagradabel
desagradesido,x
desahogá,desahoga
desahogo,x
desakuerdo,desacuerdo
desakuerdonan,desacuerdonan
desalmá,x
desampará,desampara
desamparado,x
desamparadonan,x
desamparo,x
desanimá,desanima
desanimando,desanimando
desanimashon,desanimacion
desaparesé,x
desaparesido,x
desaparesidonan,x
desaparishon,desaparicion
desaparishonnan,desaparicionnan
desaprobá,desaproba
desaprobando,desaprobando
desaprobashon,desaprobacion
desaprobashon,desaprobacion
desaprobashonnan,desaprobacionnan
desapuntá,desapunta
desapunte,x
desapuntenan,x
desapunto,desapunto
desapuntonan,desapuntonan
desarmabel,desarmabel
desarmá,desarma
desarmamentu,desarmamento
desarmando,desarmando
desarme,x
desaroyadó,desaroyado
desaroyadónan,desaroyadonan
desaroyá,desaroya
desaroyadó,desaroyado
desaroyando,desaroyando
desaroyo,desaroyo
desaroyonan,desaroyonan
desaster,desaster
desasternan,desasternan
desastroso,desastroso
desayuná,desayuna
desayunando,desayunando
desayuno,desayuno
desayunonan,desayunonan
desbalansa,desbalansa
desbalansá,x
desbalanse,x
desbalorisashon,desbalorisacion
desbaratá,desbarata
desbentaha,desbentaha
desbentahanan,desbentahanan
desbentahoso,desbentahoso
desbordá,x
desde,desde
deseabel,deseabel
deseá,desea
deseamentu,x
deseando,deseando
desechabel,x
desekilibrá,desekilibra
desekilibrio,desekilibrio
desembarká,desembarca
desembarkamentu,x
desembarkando,desembarcando
desembarkashon,desembarcacion
desèmber,december
desemboká,desemboca
desempeñá,x
desempeñando,x
desempeño,x
desempleá,desemplea
desempleado,desempleado
desempleadonan,desempleadonan
desempleo,desempleo
desena,decena
desenanan,decenanan
desénas,x
desendé,descende
desendensia,descendencia
desendente,x
desendiente,x
desendientenan,x
desengaño,x
desengañonan,x
desenio,x
desenionan,x
desenlase,desenlace
desenlasenan,desenlacenan
desenmaskará,desenmascara
desensia,decencia
desente,x
desentemente,decentemente
desentralisá,descentralisa
desentralisando,descentralisando
desentralisashon,descentralisacion
deseo,deseo
deseonan,deseonan
desepshoná,decepciona
desepshonante,decepcionante
desepshon,decepcion
desepshonnan,decepcionnan
desershon,x 
desershonnan,x
desertá,deserta
desertando,desertando
desertor,desertor
desertornan,desertornan
desesperadamente,desesperadamente
desesperá,desespera
desesperashon,desesperacion
desesperante,x
desfaborabel,desfaborabel
desfavorabel,desfaborabel
desfigurá,desfigura
desfilá,desfila
desfile,desfile
desfilenan,desfilenan
desflorá,x
